v1;v2
Faltas;Un estudiante recibe mensajes amenazantes y hostiles de otro estudiante a través de redes sociales.
Faltas;Un grupo de estudiantes sigue a otro estudiante por el campus, intimidándolo y haciendo comentarios ofensivos.
Faltas;Un profesor hace comentarios de naturaleza sexual hacia sus estudiantes durante las clases.
Faltas;Un estudiante es constantemente objeto de burlas y bromas humillantes por parte de sus compañeros de clase.
Faltas;Un miembro del personal de la universidad utiliza su posición para presionar a estudiantes a participar en actividades sexuales no deseadas.
Faltas;Un estudiante es excluido deliberadamente de actividades académicas y sociales debido a su género o identidad de género.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre otro estudiante con el objetivo de dañar su reputación.
Faltas;Un estudiante escribe mensajes ofensivos y discriminatorios en los baños o paredes de la universidad dirigidos a otros estudiantes.
Faltas;Un estudiante es objeto de acoso sistemático y continuo por parte de un grupo de compañeros debido a su orientación sexual o identidad de género.
Faltas;Un miembro del personal realiza avances sexuales no deseados hacia un estudiante y utiliza su poder para amenazarlo si se niega a cumplir con sus demandas.
Faltas;Un estudiante es objeto de exclusión y ostracismo por parte de sus compañeros de clase debido a su origen socioeconómico.
Faltas;Un grupo de estudiantes ridiculiza y menosprecia constantemente a otro estudiante por su religión o creencias espirituales.
Faltas;Un estudiante es objeto de intimidación y agresión física por parte de otros estudiantes debido a su apariencia física o discapacidad.
Faltas;Un profesor utiliza su autoridad para menospreciar y denigrar públicamente a un estudiante en frente de sus compañeros.
Faltas;Un estudiante recibe correos electrónicos anónimos con amenazas de violencia física si continúa participando en ciertas actividades extracurriculares.
Faltas;Un grupo de estudiantes crea un grupo en línea donde comparten imágenes sexualmente explícitas de otros estudiantes sin su consentimiento.
Faltas;Un miembro del personal de la universidad realiza comentarios racistas y xenófobos hacia estudiantes internacionales.
Faltas;Un estudiante es objeto de acoso sistemático y recurrente por parte de un grupo de compañeros de clase debido a su condición de inmigrante.
Faltas;Un profesor hace comentarios despectivos y discriminatorios hacia estudiantes con discapacidades, afectando su autoestima y desempeño académico.
Faltas;Un estudiante es víctima de chantaje emocional por parte de otro estudiante, quien amenaza con difundir información privada si no accede a sus demandas.
Faltas;Un estudiante es objeto de acoso por parte de un grupo de compañeros debido a su preferencia política, recibiendo insultos y amenazas.
Faltas;Un miembro del personal de la universidad difunde rumores falsos sobre un estudiante con el fin de desacreditarlo y marginarlo.
Faltas;Un grupo de estudiantes crea un ambiente hostil en línea donde se burlan y ridiculizan a otros estudiantes a través de memes y comentarios ofensivos.
Faltas;Un estudiante es excluido deliberadamente de proyectos de investigación y oportunidades académicas por parte de sus compañeros y profesores debido a su identidad de género.
Faltas;Un estudiante es acosado por su orientación política en las redes sociales, recibiendo mensajes de odio y amenazas de violencia.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas y discriminatorias en las paredes de la universidad dirigidas a una comunidad específica.
Faltas;Un estudiante es objeto de acoso por parte de un grupo de seguidores de un movimiento extremista en el campus, sintiéndose constantemente amenazado y hostigado.
Faltas;Un profesor utiliza su influencia para sabotear la carrera académica de un estudiante que rechazó sus avances sexuales.
Faltas;Un estudiante es objeto de acoso por parte de sus compañeros de residencia debido a su condición socioeconómica, siendo excluido de actividades y burlado por su situación financiera.
Faltas;Un estudiante es acosado y humillado en público durante una conferencia universitaria debido a su discapacidad, siendo objeto de risas y comentarios ofensivos por parte de otros asistentes.
Faltas;Un estudiante es acosado por otro estudiante mediante el envío repetido de mensajes de texto con contenido intimidante y amenazador.
Faltas;Un grupo de estudiantes crea un ambiente de exclusión y hostilidad hacia un estudiante nuevo en el campus, haciéndole sentir que no es bienvenido.
Faltas;Un estudiante es objeto de acoso por parte de un grupo de compañeros de clase, quienes constantemente le hacen bromas pesadas y le ridiculizan en público.
Faltas;Un profesor utiliza su posición para presionar a un estudiante a mantener una relación sentimental con él, prometiendo beneficios académicos a cambio.
Faltas;Un estudiante es acosado en línea a través de la difusión de rumores falsos sobre su vida personal y su desempeño académico.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas y amenazantes en la puerta del dormitorio de otro estudiante.
Faltas;Un estudiante es objeto de acoso por parte de sus compañeros de equipo en un proyecto universitario, quienes constantemente le critican y menosprecian su trabajo.
Faltas;Un miembro del personal de la universidad hace comentarios despectivos y discriminatorios hacia un estudiante por su nacionalidad o etnia.
Faltas;Un estudiante es acosado por su apariencia física, siendo objeto de burlas y comentarios hirientes por parte de sus compañeros.
Faltas;Un estudiante es víctima de acoso sexual en una fiesta universitaria por parte de otros estudiantes, quienes aprovechan su estado de embriaguez para abusar de él.
Faltas;Un estudiante es objeto de acoso por parte de un grupo de compañeros que le hacen constantemente bromas crueles sobre su aspecto físico en redes sociales.
Faltas;Un profesor amenaza con reducir la calificación de un estudiante si no accede a mantener relaciones íntimas con él.
Faltas;Un grupo de estudiantes excluye deliberadamente a otro estudiante de actividades extracurriculares debido a su religión.
Faltas;Un estudiante es objeto de burlas y comentarios discriminatorios por parte de sus compañeros de clase debido a su identidad de género.
Faltas;Un miembro del personal universitario hace comentarios inapropiados y degradantes sobre el cuerpo de un estudiante en público.
Faltas;Un estudiante recibe constantemente mensajes de texto amenazantes por parte de un compañero de clase, causándole angustia y ansiedad.
Faltas;Un grupo de estudiantes organiza una campaña en línea para difundir rumores falsos sobre otro estudiante y dañar su reputación.
Faltas;Un estudiante es objeto de discriminación y exclusión en el campus debido a su orientación sexual, siendo marginado por sus compañeros.
Faltas;Un profesor ridiculiza públicamente a un estudiante en frente de toda la clase, causándole vergüenza y humillación.
Faltas;Un estudiante es acosado por su rendimiento académico por parte de sus compañeros, quienes le hacen constantes comentarios denigrantes sobre su capacidad intelectual.
Faltas;Un grupo de estudiantes publica carteles ofensivos y difamatorios dirigidos a un profesor en todo el campus.
Faltas;Un estudiante recibe correos electrónicos anónimos con amenazas de violencia física si continúa expresando sus opiniones políticas en clase.
Faltas;Un profesor hace comentarios con connotaciones sexuales hacia un estudiante durante una reunión de tutoría individual.
Faltas;Un grupo de estudiantes forma un club exclusivo que discrimina a otros estudiantes en función de su raza o nacionalidad.
Faltas;Un estudiante es excluido deliberadamente de un grupo de estudio por sus compañeros, quienes le hacen sentir que no es bienvenido.
Faltas;Un miembro del personal de la universidad utiliza su posición para acosar sexualmente a varios estudiantes, ofreciéndoles beneficios académicos a cambio de favores sexuales.
Faltas;Un estudiante es objeto de bullying en línea por parte de un grupo de compañeros de clase, quienes crean perfiles falsos para difamarlo.
Faltas;Un profesor muestra favoritismo hacia ciertos estudiantes y menosprecia a otros en función de su género, causando división y resentimiento en el aula.
Faltas;Un estudiante es acosado por su orientación religiosa por parte de otros estudiantes, quienes le hacen sentir que no pertenece a la comunidad universitaria.
Faltas;Un grupo de estudiantes realiza comentarios racistas y xenófobos hacia un estudiante internacional, creando un ambiente hostil y poco acogedor en el campus.
Faltas;Un estudiante es intimidado por un grupo de compañeros de clase en los pasillos de la universidad, quienes le hacen comentarios despectivos sobre su apariencia física.
Faltas;Un profesor de posgrado hace avances no deseados hacia una estudiante durante una conferencia académica, causándole malestar e incomodidad.
Faltas;Un estudiante es objeto de burlas y humillaciones en un grupo de estudio por su discapacidad, lo que afecta su participación y rendimiento académico.
Faltas;Un grupo de estudiantes realiza graffiti ofensivo en los baños de la universidad, dirigido a una comunidad minoritaria, creando un ambiente de exclusión y discriminación.
Faltas;Un estudiante es excluido de un equipo deportivo universitario debido a su orientación sexual, a pesar de cumplir con todos los requisitos de selección.
Faltas;Un miembro del personal administrativo de la universidad utiliza su autoridad para presionar a los estudiantes a realizar actividades indebidas a cambio de beneficios académicos.
Faltas;Un estudiante es objeto de rumores falsos y difamatorios que circulan en las redes sociales, afectando su reputación y bienestar emocional.
Faltas;Un grupo de estudiantes interrumpe constantemente las presentaciones en clase de otro estudiante, haciendo comentarios sarcásticos y despectivos.
Faltas;Un estudiante es acosado en línea por un compañero de clase, quien crea perfiles falsos en redes sociales para difamarlo y acosarlo.
Faltas;Un profesor discrimina a un estudiante por su identidad de género, negándole oportunidades de participación en proyectos académicos y actividades extracurriculares.
Faltas;Un estudiante es objeto de comentarios humillantes por parte de un profesor en frente de toda la clase, afectando su autoestima y bienestar emocional.
Faltas;Un grupo de estudiantes crea un ambiente hostil en una residencia universitaria, haciendo bromas crueles y excluyendo a otro estudiante por su orientación sexual.
Faltas;Un estudiante es acosado por su nacionalidad, siendo objeto de insultos y burlas por parte de otros estudiantes debido a su origen étnico.
Faltas;Un profesor hace avances sexuales no deseados hacia un estudiante durante una sesión de tutoría, utilizando su posición de autoridad de manera inapropiada.
Faltas;Un estudiante es excluido de actividades académicas y sociales por un grupo de compañeros de clase debido a su condición socioeconómica.
Faltas;Un miembro del personal de la universidad discrimina a un estudiante por su discapacidad, negándole acceso a recursos y apoyo adecuados.
Faltas;Un grupo de estudiantes organiza una campaña de difamación en redes sociales contra otro estudiante, difundiendo rumores falsos y comentarios ofensivos.
Faltas;Un estudiante es acosado por su identidad de género, recibiendo constantes insultos y amenazas por parte de otros estudiantes.
Faltas;Un profesor muestra favoritismo hacia ciertos estudiantes en clase, menospreciando y criticando públicamente a otros por su rendimiento académico.
Faltas;Un estudiante es acosado por su peso, siendo objeto de burlas y comentarios hirientes por parte de sus compañeros de clase.
Faltas;Un grupo de estudiantes crea un chat grupal donde comparten mensajes ofensivos y degradantes sobre otros compañeros.
Faltas;Un estudiante es acosado por su elección de carrera, siendo objeto de burlas y menosprecio por parte de sus compañeros.
Faltas;Un profesor realiza comentarios con connotaciones sexuales hacia un estudiante durante una presentación en clase, causando incomodidad y malestar.
Faltas;Un estudiante es excluido de un proyecto de investigación por su edad, siendo discriminado y menospreciado por sus compañeros.
Faltas;Un miembro del personal de la universidad hace comentarios homofóbicos hacia un estudiante, creando un ambiente de exclusión y discriminación.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas en el campus dirigidas a otro grupo estudiantil, generando tensión y conflicto.
Faltas;Un estudiante es acosado por su estado de salud mental, siendo objeto de burlas y comentarios insensibles por parte de sus compañeros.
Faltas;Un profesor utiliza su posición para presionar a un estudiante a mantener una relación amorosa con él, amenazando con perjudicarlo académicamente si se niega.
Faltas;Un estudiante es excluido de un equipo deportivo por su religión, siendo discriminado y marginado por sus compañeros.
Faltas;Un grupo de estudiantes realiza un video viral donde se burlan y ridiculizan a otro estudiante, difundiendo mensajes de odio y discriminación en línea.
Faltas;Un estudiante es acosado por su condición de refugiado, siendo objeto de burlas y amenazas por parte de otros estudiantes.
Faltas;Un grupo de estudiantes crea un grupo en redes sociales para difundir rumores falsos y difamar a un compañero de clase.
Faltas;Un profesor hace comentarios discriminatorios sobre la religión de un estudiante durante una clase, generando un ambiente de exclusión.
Faltas;Un estudiante es excluido de un proyecto de investigación por su orientación política, siendo discriminado y menospreciado por sus compañeros.
Faltas;Un miembro del personal universitario utiliza su posición para acosar sexualmente a estudiantes vulnerables, creando un ambiente de intimidación.
Faltas;Un grupo de estudiantes realiza bromas pesadas y humillantes en una fiesta estudiantil, haciendo sentir incómodo a otro estudiante.
Faltas;Un estudiante es objeto de bullying cibernético por parte de un compañero de clase, quien publica comentarios ofensivos en sus redes sociales.
Faltas;Un profesor hace avances no deseados hacia un estudiante durante una actividad extracurricular, cruzando límites éticos y profesionales.
Faltas;Un estudiante es excluido de un club universitario por su identidad de género, siendo discriminado y marginado por sus compañeros.
Faltas;Un grupo de estudiantes realiza actos de vandalismo en la habitación de otro estudiante, causando daños materiales y emocionales.
Faltas;Un estudiante es objeto de intimidación y agresión física por parte de otros estudiantes debido a su orientación sexual.
Faltas;Un profesor utiliza su posición para coaccionar a un estudiante a mantener relaciones sexuales a cambio de favores académicos.
Faltas;Un grupo de estudiantes excluye a otro estudiante de actividades sociales y académicas debido a su afiliación política.
Faltas;Un estudiante es acosado por su religión, siendo objeto de burlas y comentarios discriminatorios por parte de otros estudiantes.
Faltas;Un miembro del personal universitario hace comentarios despectivos sobre el género de un estudiante, creando un ambiente hostil.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre otro estudiante en las redes sociales, afectando su reputación.
Faltas;Un estudiante es objeto de bullying por parte de su compañero de habitación, quien le amenaza y le hace sentir inseguro en su propio espacio.
Faltas;Un profesor ridiculiza públicamente a un estudiante en clase, causándole vergüenza y afectando su autoestima.
Faltas;Un estudiante es excluido de un grupo de estudio por su origen étnico, siendo discriminado y marginado por sus compañeros.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas en el campus dirigidas a otro grupo estudiantil, generando tensión y conflicto.
Faltas;Un estudiante es objeto de ridiculización y burlas por parte de sus compañeros durante una presentación en clase, afectando su autoestima y confianza.
Faltas;Un grupo de estudiantes crea un ambiente de exclusión hacia otro estudiante en el comedor universitario, evitando sentarse con él y haciéndole sentir marginado.
Faltas;Un profesor hace comentarios despectivos sobre la apariencia física de un estudiante durante una revisión de exámenes, provocando vergüenza y malestar en el estudiante.
Faltas;Un estudiante es acosado por su identidad de género, siendo objeto de insultos y exclusiones por parte de sus compañeros de clase.
Faltas;Un miembro del personal de la universidad utiliza su posición para acosar sexualmente a un estudiante, prometiéndole mejorar sus calificaciones a cambio de favores sexuales.
Faltas;Un grupo de estudiantes organiza una campaña de difamación en línea contra otro estudiante, compartiendo rumores falsos y humillantes en redes sociales.
Faltas;Un estudiante es objeto de amenazas de violencia por parte de otro estudiante debido a una disputa personal, sintiéndose constantemente intimidado en el campus.
